kind	metric	group	model	score	value	aux	status	source
metric_completion	pseudoperplexity		glot500_base,v5_random,xlmr_base	weighted_pseudo_perplexity	102/102	missing=v5_fvt	partial	docs/exp/v5/3_evaluation/01_pseudoperplexity
metric_completion	retrieval_tatoeba		glot500_base,v5_fvt,v5_random,xlmr_base	top10_accuracy	63/102	missing=-	measured	docs/exp/v5/3_evaluation/02_retrieval_tatoeba
metric_completion	retrieval_bible		glot500_base,v5_fvt,v5_random,xlmr_base	top10_accuracy	74/102	missing=-	measured	docs/exp/v5/3_evaluation/03_retrieval_bible
metric_completion	text_classification		glot500_base,v5_fvt,v5_random,xlmr_base	macro_f1	1/102	missing=-	measured	docs/exp/v5/3_evaluation/04_text_classification
metric_completion	ner		glot500_base,v5_random,xlmr_base	f1	78/102	missing=v5_fvt	partial	docs/exp/v5/3_evaluation/05_ner
metric_completion	pos		glot500_base,v5_random,xlmr_base	f1	58/102	missing=v5_fvt	partial	docs/exp/v5/3_evaluation/06_pos
metric_completion	roundtrip_alignment		glot500_base,v5_random,xlmr_base	accuracy	74/102	missing=v5_fvt	partial	docs/exp/v5/3_evaluation/07_roundtrip_alignment
measured_score	pseudoperplexity	all	glot500_base	weighted_pseudo_perplexity	10.640353	weighted_mean_nll=2.364654	measured	docs/exp/v5/3_evaluation/01_pseudoperplexity/glot500_base/summary.tsv
measured_score	pseudoperplexity	head	glot500_base	weighted_pseudo_perplexity	10.213100	weighted_mean_nll=2.323671	measured	docs/exp/v5/3_evaluation/01_pseudoperplexity/glot500_base/summary.tsv
measured_score	pseudoperplexity	v5_target	glot500_base	weighted_pseudo_perplexity	15.102934	weighted_mean_nll=2.714889	measured	docs/exp/v5/3_evaluation/01_pseudoperplexity/glot500_base/summary.tsv
measured_score	pseudoperplexity	all	v5_random	weighted_pseudo_perplexity	20.138927	weighted_mean_nll=3.002655	measured	docs/exp/v5/3_evaluation/01_pseudoperplexity/v5_random/summary.tsv
measured_score	pseudoperplexity	head	v5_random	weighted_pseudo_perplexity	18.726452	weighted_mean_nll=2.929937	measured	docs/exp/v5/3_evaluation/01_pseudoperplexity/v5_random/summary.tsv
measured_score	pseudoperplexity	v5_target	v5_random	weighted_pseudo_perplexity	39.222875	weighted_mean_nll=3.669260	measured	docs/exp/v5/3_evaluation/01_pseudoperplexity/v5_random/summary.tsv
measured_score	pseudoperplexity	all	xlmr_base	weighted_pseudo_perplexity	9.986271	weighted_mean_nll=2.301211	measured	docs/exp/v5/3_evaluation/01_pseudoperplexity/xlmr_base/summary.tsv
measured_score	pseudoperplexity	head	xlmr_base	weighted_pseudo_perplexity	8.117338	weighted_mean_nll=2.094002	measured	docs/exp/v5/3_evaluation/01_pseudoperplexity/xlmr_base/summary.tsv
measured_score	pseudoperplexity	v5_target	xlmr_base	weighted_pseudo_perplexity	61.980216	weighted_mean_nll=4.126815	measured	docs/exp/v5/3_evaluation/01_pseudoperplexity/xlmr_base/summary.tsv
measured_score	retrieval_tatoeba	all	glot500_base	top10_accuracy	0.706649	languages=98	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_tatoeba/glot500_base/cis-lmu__glot500-base/test_results.txt
measured_score	retrieval_tatoeba	head	glot500_base	top10_accuracy	0.743755	languages=63	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_tatoeba/glot500_base/cis-lmu__glot500-base/test_results.txt
measured_score	retrieval_tatoeba	all	v5_fvt	top10_accuracy	0.617507	languages=98	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_tatoeba/v5_fvt/__home__axt__mnt2__jongha__v5_glot50010__runs__v5_fvt_mlm_10k/test_results.txt
measured_score	retrieval_tatoeba	head	v5_fvt	top10_accuracy	0.712669	languages=63	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_tatoeba/v5_fvt/__home__axt__mnt2__jongha__v5_glot50010__runs__v5_fvt_mlm_10k/test_results.txt
measured_score	retrieval_tatoeba	all	v5_random	top10_accuracy	0.610353	languages=98	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_tatoeba/v5_random/__home__axt__mnt2__jongha__v5_glot50010__runs__v5_random_mlm_10k/test_results.txt
measured_score	retrieval_tatoeba	head	v5_random	top10_accuracy	0.700285	languages=63	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_tatoeba/v5_random/__home__axt__mnt2__jongha__v5_glot50010__runs__v5_random_mlm_10k/test_results.txt
measured_score	retrieval_tatoeba	all	xlmr_base	top10_accuracy	0.566067	languages=98	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_tatoeba/xlmr_base/xlm-roberta-base/test_results.txt
measured_score	retrieval_tatoeba	head	xlmr_base	top10_accuracy	0.656309	languages=63	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_tatoeba/xlmr_base/xlm-roberta-base/test_results.txt
measured_score	retrieval_bible	all	glot500_base	top10_accuracy	0.509356	languages=74	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_bible/glot500_base/cis-lmu__glot500-base/test_results.txt
measured_score	retrieval_bible	head	glot500_base	top10_accuracy	0.509356	languages=74	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_bible/glot500_base/cis-lmu__glot500-base/test_results.txt
measured_score	retrieval_bible	all	v5_fvt	top10_accuracy	0.370349	languages=74	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_bible/v5_fvt/__home__axt__mnt2__jongha__v5_glot50010__runs__v5_fvt_mlm_10k/test_results.txt
measured_score	retrieval_bible	head	v5_fvt	top10_accuracy	0.370349	languages=74	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_bible/v5_fvt/__home__axt__mnt2__jongha__v5_glot50010__runs__v5_fvt_mlm_10k/test_results.txt
measured_score	retrieval_bible	all	v5_random	top10_accuracy	0.328019	languages=74	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_bible/v5_random/__home__axt__mnt2__jongha__v5_glot50010__runs__v5_random_mlm_10k/test_results.txt
measured_score	retrieval_bible	head	v5_random	top10_accuracy	0.328019	languages=74	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_bible/v5_random/__home__axt__mnt2__jongha__v5_glot50010__runs__v5_random_mlm_10k/test_results.txt
measured_score	retrieval_bible	all	xlmr_base	top10_accuracy	0.381153	languages=74	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_bible/xlmr_base/xlm-roberta-base/test_results.txt
measured_score	retrieval_bible	head	xlmr_base	top10_accuracy	0.381153	languages=74	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_bible/xlmr_base/xlm-roberta-base/test_results.txt
measured_score	roundtrip_alignment	all	glot500_base	accuracy	0.205189	languages=74	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/roundtrip_alignment/glot500_base/test_results.txt
measured_score	roundtrip_alignment	head	glot500_base	accuracy	0.205189	languages=74	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/roundtrip_alignment/glot500_base/test_results.txt
measured_score	roundtrip_alignment	all	v5_random	accuracy	0.190300	languages=74	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/roundtrip_alignment/v5_random/test_results.txt
measured_score	roundtrip_alignment	head	v5_random	accuracy	0.190300	languages=74	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/roundtrip_alignment/v5_random/test_results.txt
measured_score	roundtrip_alignment	all	xlmr_base	accuracy	0.185300	languages=74	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/roundtrip_alignment/xlmr_base/test_results.txt
measured_score	roundtrip_alignment	head	xlmr_base	accuracy	0.185300	languages=74	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/roundtrip_alignment/xlmr_base/test_results.txt
measured_score	text_classification	head	glot500_base	macro_f1	0.743338	accuracy=0.756757	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/text_classification/taxi1500/glot500_base/summary.json
measured_score	text_classification	all	glot500_base	macro_f1	0.743338	accuracy=0.756757	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/text_classification/taxi1500/glot500_base/summary.json
measured_score	text_classification	head	v5_fvt	macro_f1	0.717796	accuracy=0.783784	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/text_classification/taxi1500/v5_fvt/summary.json
measured_score	text_classification	all	v5_fvt	macro_f1	0.717796	accuracy=0.783784	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/text_classification/taxi1500/v5_fvt/summary.json
measured_score	text_classification	head	v5_random	macro_f1	0.702956	accuracy=0.747748	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/text_classification/taxi1500/v5_random/summary.json
measured_score	text_classification	all	v5_random	macro_f1	0.702956	accuracy=0.747748	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/text_classification/taxi1500/v5_random/summary.json
measured_score	text_classification	head	xlmr_base	macro_f1	0.592876	accuracy=0.729730	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/text_classification/taxi1500/xlmr_base/summary.json
measured_score	text_classification	all	xlmr_base	macro_f1	0.592876	accuracy=0.729730	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/text_classification/taxi1500/xlmr_base/summary.json
measured_score	ner	all	glot500_base	f1	0.627108	languages=164	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/ner/glot500_base/glot500-base/test_results.txt
measured_score	ner	head	glot500_base	f1	0.645915	languages=78	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/ner/glot500_base/glot500-base/test_results.txt
measured_score	ner	v5_target	glot500_base	f1	0.553191	languages=1	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/ner/glot500_base/glot500-base/test_results.txt
measured_score	ner	all	v5_random	f1	0.544628	languages=164	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/ner/v5_random/v5_random_mlm_10k/test_results.txt
measured_score	ner	head	v5_random	f1	0.608020	languages=78	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/ner/v5_random/v5_random_mlm_10k/test_results.txt
measured_score	ner	v5_target	v5_random	f1	0.560554	languages=1	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/ner/v5_random/v5_random_mlm_10k/test_results.txt
measured_score	ner	all	xlmr_base	f1	0.549858	languages=164	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/ner/xlmr_base/xlm-roberta-base/test_results.txt
measured_score	ner	head	xlmr_base	f1	0.621207	languages=78	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/ner/xlmr_base/xlm-roberta-base/test_results.txt
measured_score	ner	v5_target	xlmr_base	f1	0.459364	languages=1	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/ner/xlmr_base/xlm-roberta-base/test_results.txt
measured_score	pos	all	glot500_base	f1	0.567542	languages=18	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/pos/glot500_base/glot500-base/test_results.txt
measured_score	pos	head	glot500_base	f1	0.573832	languages=9	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/pos/glot500_base/glot500-base/test_results.txt
measured_score	pos	all	v5_random	f1	0.481102	languages=18	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/pos/v5_random/v5_random_mlm_10k/test_results.txt
measured_score	pos	head	v5_random	f1	0.587430	languages=9	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/pos/v5_random/v5_random_mlm_10k/test_results.txt
measured_score	pos	all	xlmr_base	f1	0.481336	languages=18	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/pos/xlmr_base/xlm-roberta-base/test_results.txt
measured_score	pos	head	xlmr_base	f1	0.571446	languages=9	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/pos/xlmr_base/xlm-roberta-base/test_results.txt
open_gate	after-MLM PPPL				pending	after checkpoint status and post-checkpoint preflight are ready, prefer SKIP_MEASURED=1 WITH_PLOTS=1 GPU_RANDOM=0 GPU_FVT=1 bash scripts/run_v5_post_checkpoint_evals.sh pppl; canonical full rerun command: WITH_PLOTS=1 GPU_RANDOM=0 GPU_FVT=1 bash scripts/run_v5_post_checkpoint_evals.sh pppl	pending	measured_models=glot500_base,v5_random,xlmr_base
open_gate	v5 available downstream replay				pending	after checkpoint status and post-checkpoint preflight are ready, prefer SKIP_MEASURED=1 WITH_PLOTS=1 GPU_RANDOM=0 GPU_FVT=1 bash scripts/run_v5_post_checkpoint_evals.sh downstream or all; canonical full rerun command: WITH_PLOTS=1 GPU_RANDOM=0 GPU_FVT=1 bash scripts/run_v5_post_checkpoint_evals.sh downstream	pending	retrieval_tatoeba=glot500_base,v5_fvt,v5_random,xlmr_base; text_classification=glot500_base,v5_fvt,v5_random,xlmr_base; ner=glot500_base,v5_random,xlmr_base; pos=glot500_base,v5_random,xlmr_base; retrieval_bible=glot500_base,v5_fvt,v5_random,xlmr_base; roundtrip_alignment=glot500_base,v5_random,xlmr_base
open_gate	Bible retrieval accounting				pending	run Bible retrieval through SKIP_MEASURED=1 WITH_PLOTS=1 GPU_RANDOM=0 GPU_FVT=1 bash scripts/run_v5_post_checkpoint_evals.sh downstream or all after checkpoints and post-checkpoint preflight are ready	pending	status=measured; coverage=74/102; target10=0/10; measured_models=glot500_base,v5_fvt,v5_random,xlmr_base; note=
open_gate	Roundtrip alignment accounting				pending	run v5 roundtrip rows after matched checkpoints and post-checkpoint preflight are ready	pending	status=partial; coverage=74/102; target10=0/10; measured_models=glot500_base,v5_random,xlmr_base; blocker_audit=roundtrip_inputs_ready_pending_results; note=missing_model_outputs=v5_fvt
